index,size
0,3
1,6
4,2
6,2
7,2
8,2
10,2
11,2
13,4
14,3
15,2
17,2
18,4
20,2
23,2
24,2
25,3
26,3
27,3
28,2
29,2
30,4
31,2
34,2
35,2
36,2
37,2
38,2
43,3
44,2
45,2
46,2
47,2
48,10
49,2
51,2
52,2
54,2
55,2
56,2
57,2
58,2
61,2
62,2
64,4
65,2
66,3
71,3
73,2
74,2
77,4
78,2
79,2
81,2
83,2
84,4
86,2
87,2
89,2
91,7
92,8
93,2
94,2
97,2
99,2
100,5
103,2
106,4
107,3
110,3
111,2
112,3
113,2
114,2
115,2
118,3
119,2
123,2
124,21
127,2
128,2
130,2
131,2
133,2
135,4
136,3
141,2
142,2
143,3
145,2
146,2
147,2
148,2
149,2
150,2
151,4
152,2
153,2
154,2
155,2
156,2
159,2
160,2
161,2
162,2
164,2
165,2
166,2
167,2
168,12
169,2
170,4
172,2
173,7
174,4
175,2
176,2
177,17
179,2
180,5
182,22
183,2
185,2
187,2
188,2
189,2
190,2
191,4
192,3
193,4
197,2
199,4
201,2
202,3
203,2
204,2
205,2
206,2
208,2
210,2
211,2
213,2
214,2
215,2
216,2
217,2
218,2
221,2
222,4
223,3
225,2
226,2
227,2
228,170
230,3
232,3
233,2
234,2
236,2
237,2
239,2
240,23
241,3
242,2
243,4
244,2
245,2
247,3
248,2
250,5
251,2
252,2
253,3
254,2
256,2
258,2
261,2
263,4
264,2
265,3
269,2
270,2
271,2
274,2
276,2
279,2
281,3
282,5
283,4
284,2
287,2
288,4
289,6
290,2
292,2
293,2
294,2
297,2
298,2
299,2
300,2
301,2
302,2
303,2
304,4
305,2
306,2
308,3
311,2
312,2
313,2
315,2
317,8
318,7
321,2
322,3
324,7
325,2
326,2
328,3
329,4
330,4
331,3
332,2
333,2
334,74
335,3
336,2
337,2
339,4
341,2
342,108
346,4
347,3
348,2
349,2
350,2
352,3
353,2
354,2
355,2
356,2
358,2
359,2
360,3
364,5
365,2
366,12
367,2
369,26
370,2
371,4
372,3
373,3
374,3
376,2
377,2
379,2
382,2
383,3
384,2
385,6
386,4
387,2
388,11
389,2
390,2
391,2
392,2
395,100
396,4
397,2
399,3
400,3
401,2
402,2
403,2
404,2
405,2
406,2
407,19
409,2
410,24
411,2
412,2
414,2
416,3
417,3
418,2
419,2
420,3
421,2
422,2
423,2
425,4
426,2
427,10
428,2
431,3
432,2
433,3
434,2
435,5
437,2
438,2
439,9
440,2
441,2
443,3
444,2
445,2
446,2
447,2
449,2
451,2
453,2
454,3
455,2
458,2
460,2
461,6
462,2
463,3
467,2
468,5
469,2
470,5
471,2
472,2
473,2
475,2
476,23
477,2
478,2
479,2
480,4
481,2
482,2
483,3
485,2
486,3
487,2
488,3
489,3
491,2
492,2
493,2
494,4
495,2
497,5
500,2
501,3
502,2
504,2
505,2
506,8
508,3
509,2
510,2
511,3
