index,size
1,3
2,2
3,3
4,2
5,4
6,2
9,5
10,2
11,5
13,2
14,2
15,2
18,2
23,2
26,3
27,3
28,3
33,2
34,2
43,2
44,2
45,2
50,4
51,2
57,9
61,4
62,2
66,9
70,2
73,2
76,2
77,2
78,2
79,2
94,2
95,2
96,2
99,2
100,3
103,69
106,2
107,2
113,2
117,2
121,3
123,3
125,2
126,5
129,2
138,3
141,2
142,2
143,2
144,7
147,3
152,2
153,2
161,2
162,2
163,2
167,2
168,3
170,4
180,3
183,2
184,2
187,3
188,2
190,6
191,2
196,3
199,3
200,2
201,11
205,3
208,2
221,4
222,9
224,2
230,2
231,2
236,2
237,2
241,2
247,2
256,2
260,2
261,2
265,2
266,2
267,19
269,3
272,3
273,2
275,4
278,2
283,2
284,15
285,2
289,5
292,2
293,3
297,3
298,2
299,8
303,2
307,2
310,4
313,2
320,2
324,2
326,4
327,5
331,2
333,3
336,2
337,2
338,2
342,55
354,3
355,2
357,2
360,2
361,2
362,2
363,8
364,2
366,2
368,2
379,2
382,2
383,4
384,2
390,3
391,3
392,2
394,2
395,3
