index,size
3,4
4,2
7,2
11,4
14,3
15,6
16,4
17,2
20,3
22,3
28,2
32,9
34,2
42,2
43,2
44,2
47,5
49,7
50,2
51,3
52,2
58,2
60,3
62,2
63,2
65,2
68,2
69,3
70,2
71,2
72,2
73,2
76,2
77,2
78,7
81,2
85,2
87,3
90,2
92,3
93,2
94,2
96,2
97,2
98,2
99,2
102,7
109,2
111,3
113,5
114,3
116,3
118,2
119,3
127,4
129,2
133,6
134,4
136,2
138,3
139,2
141,2
142,2
145,3
147,2
149,2
151,2
152,2
153,2
154,2
157,3
158,5
159,3
160,2
162,2
163,219
164,2
168,4
169,38
171,2
175,2
177,2
178,2
186,2
187,2
188,4
189,2
190,2
191,3
196,3
200,2
202,2
204,2
207,2
209,2
211,2
214,2
217,2
220,2
221,4
223,2
229,2
233,2
234,3
245,2
248,2
249,2
251,21
254,2
255,2
257,2
259,2
260,4
261,2
264,2
269,2
273,2
274,4
276,2
279,2
281,3
287,2
288,3
290,6
292,2
294,3
295,2
297,2
298,3
301,2
304,2
305,2
307,2
308,2
310,2
311,2
312,2
316,2
317,2
320,2
322,2
323,2
325,3
326,2
328,2
329,2
330,2
331,2
333,2
334,2
336,2
340,2
341,2
343,3
344,3
345,2
349,2
361,2
369,2
371,2
372,2
373,2
374,2
375,2
379,2
381,3
382,2
383,3
387,4
391,5
392,2
393,2
401,2
402,2
403,2
407,3
412,2
414,2
420,2
427,2
428,3
432,2
435,2
436,2
438,2
446,2
450,2
451,2
456,2
457,2
462,3
466,2
471,2
472,2
473,4
477,2
483,2
484,2
486,2
487,2
488,2
491,2
492,2
495,2
496,2
503,2
504,2
506,2
508,16
509,2
510,2
511,2
512,7
513,3
517,2
518,2
524,2
528,2
533,2
536,2
539,2
541,2
547,2
556,2
562,2
563,2
564,2
566,2
567,2
568,2
573,2
574,2
577,2
578,4
583,2
585,2
592,3
595,2
596,2
600,2
603,2
606,2
608,2
612,2
614,2
615,2
619,2
622,2
628,7
630,2
631,2
632,18
633,2
637,3
638,2
640,6
647,4
650,2
652,2
653,2
655,8
657,2
664,3
668,2
669,2
678,2
687,2
690,3
693,2
699,3
701,2
702,5
708,2
709,2
710,2
734,2
735,2
736,3
737,3
740,4
741,2
743,7
745,4
747,2
751,2
752,2
756,2
759,3
763,2
766,3
772,2
794,2
797,2
799,2
800,2
808,2
809,2
815,14
820,2
821,4
823,3
832,4
848,2
853,2
856,2
857,2
866,2
871,2
873,2
881,2
893,2
896,2
900,2
904,2
909,4
911,2
918,2
920,2
922,2
924,2
927,2
928,2
929,3
934,5
935,2
942,2
943,4
944,4
945,2
949,2
955,2
959,2
960,2
961,2
967,2
968,2
970,2
971,3
974,2
976,2
977,2
978,2
983,2
990,2
996,2
997,2
999,2
1002,2
1007,2
1011,7
1014,3
1017,2
1022,2
1024,2
1028,2
1029,2
1034,2
1040,2
1041,2
1050,2
1053,2
1055,2
1062,2
1067,2
1072,5
1073,2
1079,2
1081,3
1082,2
1086,2
1089,2
1091,2
1093,2
1094,3
1096,13
1097,2
1098,2
1101,2
1103,2
1104,2
1105,2
1106,2
1108,2
1110,2
1113,3
1115,2
1116,38
1120,2
1121,2
