index,size
0,9
1,2
2,2
4,2
5,3
6,3
7,2
8,2
9,6
10,2
11,4
12,2
13,2
14,2
15,2
16,2
17,3
18,2
19,2
20,2
21,2
22,2
23,2
27,3
28,5
29,9
30,2
31,2
32,3
33,5
34,7
35,10
36,4
38,2
39,5
40,2
42,3
43,2
45,5
47,2
49,4
50,2
52,3
53,3
54,2
55,2
56,2
57,2
58,2
59,2
60,7
61,2
62,2
64,2
66,3
67,2
68,7
69,2
71,2
72,2
73,6
74,9
75,2
76,2
77,4
79,2
81,2
82,2
83,4
84,2
85,2
86,2
87,2
88,2
89,3
90,9
91,2
92,2
93,2
94,2
95,5
96,3
98,2
99,2
100,2
101,2
102,8
103,10
104,2
105,2
106,2
109,4
110,4
111,2
112,2
113,2
114,7
115,2
116,2
117,4
118,6
119,2
120,2
121,2
122,2
123,10
124,3
125,2
126,5
127,2
128,3
130,2
131,3
132,3
133,2
135,2
136,3
137,2
138,2
139,5
140,2
142,2
143,3
144,2
145,6
146,4
147,2
148,2
149,2
150,4
151,7
152,2
153,3
154,2
155,2
156,3
157,2
158,4
160,3
161,9
163,2
164,2
165,2
166,2
167,2
168,2
169,2
170,2
171,2
172,2
173,3
174,2
175,2
176,4
177,3
178,2
179,2
180,2
181,2
182,2
183,2
184,4
185,3
186,2
187,3
188,2
190,2
191,3
192,2
193,2
194,2
195,2
196,2
197,2
199,2
200,2
201,2
202,4
203,2
204,2
205,2
206,9
207,2
208,4
210,2
211,2
212,3
213,2
214,3
218,2
219,2
220,3
221,4
222,2
224,3
226,2
227,5
228,4
229,2
230,2
231,2
232,2
233,3
235,2
236,6
238,2
239,4
240,2
241,2
243,2
246,5
247,4
248,2
249,10
250,3
251,2
252,2
255,2
257,2
258,2
259,2
261,2
262,2
263,2
264,2
265,2
266,2
267,2
268,2
269,2
270,2
273,2
276,2
277,2
278,3
279,5
280,2
281,5
282,2
283,3
284,2
285,4
286,2
287,6
288,4
289,9
290,10
291,4
292,2
294,2
295,2
296,2
297,4
298,2
299,5
300,2
301,4
302,3
303,5
304,2
305,2
306,2
307,2
308,9
309,2
310,2
311,2
312,2
313,2
314,2
315,2
317,2
318,2
320,2
321,2
322,3
323,4
324,4
325,2
327,2
329,3
330,2
331,2
332,2
333,2
334,3
335,2
336,2
337,2
338,2
340,2
341,2
342,10
343,4
344,2
345,3
346,3
347,4
348,2
349,2
350,2
352,8
353,2
354,3
355,4
356,2
357,2
358,10
359,2
360,10
361,3
362,2
363,2
364,2
365,6
366,4
367,2
368,2
369,4
370,4
371,2
372,2
374,3
375,2
376,5
377,2
378,2
379,2
380,2
381,2
382,3
383,4
386,2
388,2
392,3
394,4
395,2
396,4
399,9
400,7
401,2
402,8
403,3
404,2
407,2
408,2
409,2
410,3
411,6
412,2
413,3
415,10
416,2
417,2
418,2
419,2
420,2
421,2
422,2
423,2
425,6
426,2
427,2
430,2
431,2
432,2
433,2
434,2
435,2
437,2
438,2
440,3
443,2
444,2
445,2
446,2
447,2
448,2
449,3
450,2
451,2
452,2
453,2
456,3
457,2
458,2
460,2
461,2
462,2
463,2
464,2
465,2
466,2
467,2
469,2
470,2
472,3
473,7
475,3
476,10
477,3
478,2
479,2
481,2
